,price,bedrooms
279,527500.0,3
370,661000.0,3
395,705000.0,4
407,725000.0,5
492,970000.0,4
741,445000.0,2
789,555000.0,3
791,560000.0,3
871,680000.0,3
874,685000.0,4
902,765000.0,4
924,800000.0,5
1194,440000.0,2
1280,570000.0,3
1283,573860.0,3
1323,625000.0,3
1347,660000.0,4
1394,735000.0,4
1399,745000.0,4
1745,480000.0,3
1781,538500.0,3
1792,565000.0,4
1827,605000.0,4
1965,925000.0,4
1973,985000.0,4
2302,492000.0,3
2355,565000.0,3
2388,606999.0,3
2400,623000.0,3
2459,695000.0,4
2475,715000.0,4
2500,760000.0,5
2611,1100000.0,3
2833,520000.0,3
2836,524000.0,3
2837,525000.0,3
2842,532000.0,3
2895,610000.0,4
2949,680000.0,2
2991,750000.0,3
2994,755000.0,3
2999,760000.0,4
3019,806000.0,3
3053,860000.0,4
3072,895000.0,3
3120,985000.0,3
3167,1121000.0,3
3213,1285000.0,4
3216,1300000.0,4
3217,1300000.0,4
3225,1322000.0,4
3245,1402000.0,3
3247,1410000.0,3
3276,1590000.0,4
3397,540000.0,3
3411,650000.0,4
3561,312500.0,1
3742,565000.0,3
3765,590000.0,3
3834,660000.0,2
3899,754000.0,4
3929,802000.0,4
3955,851000.0,5
3970,900000.0,3
4254,472000.0,4
4310,535000.0,3
4312,535000.0,3
4317,550000.0,3
4334,575000.0,3
4335,575000.0,3
4356,606000.0,3
4376,635000.0,3
4380,645000.0,3
4389,665000.0,4
4403,690000.0,4
4435,775000.0,4
4464,905000.0,4
4738,482000.0,3
4768,530000.0,3
4779,546000.0,3
4782,550000.0,3
4911,745900.0,4
4926,789500.0,4
4961,865000.0,4
5251,500000.0,3
5291,545000.0,3
5310,570000.0,4
5312,570000.0,3
5366,672450.0,4
5376,690000.0,3
5379,700000.0,4
5399,745000.0,3
5401,750000.0,4
5440,870000.0,3
5446,886000.0,4
5670,275000.0,4
5869,545000.0,3
5883,560000.0,4
5889,567000.0,3
5930,608000.0,3
5953,640000.0,3
5993,690000.0,5
6004,700000.0,4
6046,750000.0,4
6067,790000.0,4
6079,810000.0,5
6224,1365000.0,4
6420,545000.0,3
6438,574000.0,3
6440,575000.0,3
6447,585000.0,3
6458,597000.0,3
6516,670000.0,4
6528,680000.0,4
6532,685000.0,5
6558,725000.0,4
6580,770000.0,3
6592,792000.0,4
6651,902000.0,3
6676,965000.0,4
6694,1020000.0,3
6698,1025000.0,4
6701,1050000.0,4
6706,1075000.0,4
6770,1265000.0,4
