,price,bedrooms
183,355000.0,1
1176,390000.0,2
1258,535000.0,2
1751,485000.0,3
2462,695000.0,3
2483,735000.0,3
2803,453000.0,3
2913,627500.0,3
3627,420000.0,2
4233,443500.0,3
4259,480000.0,3
4285,505000.0,3
4294,516000.0,3
4703,420000.0,3
4743,495000.0,3
4783,550000.0,3
5281,535000.0,3
5688,315000.0,2
5830,501000.0,3
6064,779000.0,3
6383,472500.0,3
6395,496000.0,3
6400,512000.0,3
6407,521000.0,3
7674,366500.0,2
7724,449900.0,2
8237,400000.0,2
8807,410000.0,2
8871,515000.0,3
9327,380000.0,2
9470,547500.0,3
10256,930000.0,3
10812,545000.0,3
10870,625000.0,4
11210,370000.0,3
11251,460000.0,3
11292,512500.0,2
11330,556000.0,3
12310,497000.0,3
12324,516000.0,2
12939,517000.0,3
13338,610000.0,3
13364,696000.0,4
13392,860000.0,4
14043,360000.0,2
14109,485000.0,3
14146,540000.0,3
14354,1050000.0,4
14524,372000.0,2
14711,670000.0,2
14736,710000.0,3
15100,475000.0,3
15570,395000.0,2
15580,410500.0,2
15695,580000.0,3
16178,690000.0,3
16289,877000.0,3
16694,405000.0,2
16755,495000.0,3
16854,598000.0,3
17259,397400.0,1
17284,450000.0,2
17294,465000.0,2
17763,415000.0,2
17804,475000.0,3
17850,525000.0,3
18314,448000.0,3
18320,456000.0,2
18470,697500.0,3
18787,375000.0,2
18838,460000.0,3
18856,495000.0,3
18912,555750.0,3
18988,660000.0,4
19344,420000.0,3
19406,580000.0,3
20571,385000.0,2
20631,500000.0,3
20843,847000.0,4
20869,941000.0,4
21068,385000.0,1
21217,618000.0,3
21233,635000.0,3
21621,450000.0,3
22188,466000.0,2
22243,522000.0,3
22383,695000.0,3
22913,790000.0,4
23397,362000.0,2
23405,376000.0,2
23569,600000.0,4
24010,420000.0,3
24025,440000.0,3
24037,456500.0,3
24539,407500.0,2
24556,427500.0,3
24609,510000.0,3
24722,650000.0,3
25208,550000.0,3
25673,345000.0,2
25701,405000.0,3
25714,423000.0,3
25719,430000.0,2
25742,460000.0,3
25987,762000.0,3
26318,380000.0,2
26327,417000.0,3
26484,665000.0,4
27264,400000.0,2
27275,415000.0,2
27336,490000.0,3
27854,345100.0,1
28441,320000.0,1
28482,388800.0,1
28490,400000.0,2
29128,475000.0,3
29773,575000.0,3
30177,400000.0,1
30198,485000.0,2
30210,530000.0,3
30671,368000.0,2
30713,435000.0,3
30865,615000.0,3
30869,618000.0,3
31242,468000.0,3
31390,860000.0,4
32131,460000.0,3
32159,512000.0,2
32335,790000.0,3
32636,338000.0,2
32687,400000.0,2
32719,446650.0,3
33417,670000.0,3
33998,275000.0,2
34684,360000.0,2
34707,410000.0,3
34741,467260.0,3
35276,440000.0,2
35358,570000.0,3
35797,392500.0,3
35830,442000.0,2
36601,650000.0,2
37007,423000.0,2
37774,383000.0,2
37781,390000.0,2
37884,537500.0,3
38421,430000.0,2
38455,480000.0,3
38461,485000.0,3
38964,416000.0,2
39586,460000.0,3
39591,465000.0,3
39599,475000.0,2
39816,770000.0,4
40146,410000.0,2
40171,455000.0,3
40528,1020000.0,3
40761,452500.0,3
40871,646000.0,3
40886,665000.0,3
41493,372000.0,3
41656,560000.0,3
41813,748000.0,3
42124,350000.0,2
42181,447000.0,3
42209,488000.0,3
42818,510000.0,2
43943,361000.0,2
43960,385000.0,2
44052,475000.0,3
44093,513000.0,3
44120,540000.0,3
44476,1155000.0,4
44679,435000.0,3
44885,722000.0,4
44936,806000.0,3
45516,395000.0,3
45689,600000.0,3
45797,740000.0,3
46168,487500.0,3
46655,340000.0,2
46688,395000.0,3
47343,423000.0,3
47375,470000.0,3
47907,430000.0,3
47923,447500.0,3
47975,500000.0,3
49264,410000.0,2
49305,460000.0,3
49870,370000.0,3
50093,710000.0,3
50451,403000.0,2
50522,493500.0,3
50565,547000.0,2
51191,722500.0,3
51573,405000.0,2
51610,435000.0,2
51631,455000.0,3
51715,550000.0,3
52208,405000.0,3
52939,393000.0,3
52952,410000.0,3
53376,1495000.0,3
53539,373000.0,2
53706,590500.0,2
54067,280000.0,2
54177,462500.0,3
54245,543000.0,4
54334,640000.0,4
54437,835000.0,4
54733,385000.0,2
54741,397500.0,2
55464,470000.0,3
55645,635000.0,4
55770,766000.0,3
56098,385000.0,2
56141,557000.0,3
56150,590000.0,3
58000,435000.0,2
58135,415500.0,3
