,price,bedrooms
32,595000.0,3
195,385000.0,2
196,390000.0,2
211,412500.0,2
243,468000.0,2
668,287500.0,1
688,330000.0,1
721,414000.0,1
1113,202000.0,2
1132,298000.0,1
1180,401000.0,2
1203,450000.0,3
1688,345000.0,2
1699,365000.0,1
2155,250000.0,2
2170,295000.0,1
2186,340000.0,1
2246,430000.0,2
2783,404000.0,2
3547,272000.0,1
3613,400000.0,2
3618,405000.0,2
3735,555000.0,2
3772,595000.0,2
4161,275000.0,2
4163,277000.0,1
4177,335000.0,1
4180,350000.0,1
4245,456600.0,3
4425,735000.0,3
4655,337000.0,1
5190,390000.0,2
5240,480000.0,1
5699,330000.0,1
5704,349900.0,1
5713,359000.0,2
5800,473000.0,2
5901,580000.0,2
5906,589000.0,2
6214,1295000.0,3
6480,625000.0,3
7227,525000.0,2
7649,320000.0,2
7736,462000.0,1
7779,528000.0,2
7784,533000.0,3
8202,327000.0,2
8223,372500.0,1
8724,236000.0,1
8744,330000.0,2
8796,400000.0,2
8856,490000.0,1
8947,646000.0,2
9294,312500.0,1
9325,375000.0,2
9332,390000.0,2
9389,452000.0,1
9511,610000.0,3
9518,620000.0,2
9689,920000.0,3
10696,320000.0,2
10722,405000.0,1
10767,485000.0,2
10879,640000.0,3
10928,708888.0,2
11186,297000.0,1
11208,355000.0,2
11217,395000.0,2
11237,439000.0,2
11264,480000.0,1
11715,342500.0,1
11728,370000.0,2
11745,395000.0,2
11884,584999.0,2
12223,315000.0,1
12246,378000.0,1
12280,445000.0,2
12754,195000.0,1
12771,275000.0,1
12828,390000.0,2
12836,400000.0,1
12849,415000.0,2
12864,426000.0,3
12926,489000.0,2
13540,1110000.0,3
14008,255000.0,1
14010,275000.0,1
14019,307000.0,1
14027,330000.0,3
14086,440000.0,2
14094,460000.0,2
14505,344000.0,2
14662,595000.0,3
15011,285000.0,1
15069,429000.0,1
15081,440000.0,1
15494,190000.0,1
15511,279000.0,1
15533,320000.0,2
15552,370000.0,1
15566,390000.0,1
16052,450000.0,1
16663,347000.0,2
16668,360000.0,2
16796,545000.0,3
17209,290949.0,2
17273,420000.0,2
17724,352000.0,2
17738,375000.0,1
17805,478000.0,1
18246,182000.0,1
18757,325000.0,2
18774,360000.0,2
18791,382500.0,2
18795,397500.0,2
18854,491000.0,2
18859,500000.0,2
19938,300000.0,2
19944,308000.0,1
19986,389950.0,2
20567,382000.0,2
20574,392500.0,2
20577,400000.0,2
21045,325000.0,3
21090,435000.0,2
21205,605000.0,2
21255,658000.0,3
21549,330000.0,1
21609,425000.0,1
21642,491500.0,2
22101,327000.0,2
22155,403000.0,1
22179,450000.0,2
22308,605000.0,2
22328,629000.0,2
22685,260000.0,1
22689,280000.0,2
23373,297000.0,2
23394,355000.0,1
23399,365000.0,2
23415,400000.0,1
23494,530000.0,2
23786,965000.0,3
23968,323500.0,1
24017,430000.0,2
24057,490000.0,3
24538,405000.0,2
24607,507000.0,3
24652,570000.0,2
25069,349000.0,2
25084,380000.0,2
25091,388000.0,2
25092,390000.0,2
25376,810000.0,3
25393,840000.0,2
25662,317500.0,2
25682,360000.0,1
25687,378000.0,2
25708,415000.0,3
25715,425000.0,2
25718,430000.0,3
25784,507000.0,3
27210,300000.0,1
27214,304950.0,2
27224,319950.0,2
27229,329950.0,2
27232,339950.0,2
27274,415000.0,1
27733,2280000.0,1
27833,300000.0,2
27884,417500.0,2
27889,425000.0,3
28424,290000.0,2
28526,446500.0,1
28587,539950.0,3
29086,421000.0,1
29185,545000.0,2
29325,790000.0,2
29600,329950.0,2
29741,525000.0,2
29760,550000.0,2
29762,550000.0,3
29780,585000.0,3
29883,695000.0,2
30640,277000.0,1
30646,290000.0,1
30666,345500.0,1
30670,364950.0,2
30720,439950.0,2
31221,407000.0,2
31558,310000.0,1
31559,310000.0,1
31585,369950.0,2
31587,370000.0,2
31591,373000.0,1
31597,380000.0,2
32057,295000.0,1
32060,300000.0,1
32091,400000.0,1
32096,402500.0,2
32621,302000.0,2
32630,330000.0,1
32668,377500.0,2
32681,395000.0,3
32689,402000.0,2
33276,395000.0,1
33560,905000.0,3
34005,305000.0,1
34053,385000.0,2
34075,410000.0,2
34115,485000.0,2
34155,522500.0,2
34211,580000.0,2
34518,1320000.0,3
34647,277000.0,1
34653,288000.0,1
34662,320000.0,2
34669,327500.0,1
34701,395000.0,2
34715,413000.0,2
34762,495000.0,2
35238,365000.0,1
35244,377500.0,2
35273,430000.0,2
35389,620000.0,3
35775,336000.0,1
35777,345000.0,2
35782,357000.0,2
35785,366000.0,2
36168,1125000.0,3
36356,255000.0,1
36360,270000.0,1
36384,332000.0,2
37719,180000.0,1
37743,330000.0,2
37773,377000.0,2
38362,301000.0,1
38956,410000.0,2
38957,410000.0,3
39041,530000.0,2
39095,595000.0,3
39177,720000.0,3
39476,197000.0,1
39482,230000.0,2
39497,305000.0,2
39534,365000.0,2
39600,475000.0,2
39654,540000.0,2
40076,204000.0,1
40104,330000.0,1
40162,442000.0,2
40313,615000.0,2
41446,231000.0,1
41451,275000.0,1
41504,390000.0,1
41531,415500.0,2
41572,460000.0,2
42140,385000.0,2
42396,746000.0,2
42705,335000.0,2
42706,340000.0,1
42711,345000.0,2
42713,350000.0,1
43280,265000.0,1
43284,275500.0,1
43299,330000.0,1
43304,340000.0,1
43328,375000.0,2
43353,430000.0,1
43879,248000.0,2
43928,345000.0,2
44114,530000.0,2
44134,555000.0,2
44236,665000.0,2
44244,675000.0,2
45461,305000.0,2
45495,365000.0,1
46065,265000.0,1
46078,319000.0,2
46163,481000.0,1
46490,1255000.0,3
46623,250000.0,2
46654,339950.0,2
46713,437000.0,2
46753,492000.0,2
46825,585000.0,2
47293,355000.0,1
47312,389000.0,2
47319,400000.0,2
47321,400000.0,2
47359,445000.0,2
47426,555000.0,3
47630,1100000.0,3
47816,307700.0,1
47834,340000.0,2
48687,689000.0,3
49227,338000.0,2
49246,370000.0,2
49280,423000.0,2
49338,505500.0,3
49830,295000.0,1
49835,301000.0,2
49838,315000.0,1
49841,317500.0,1
49843,319000.0,2
49844,320000.0,2
49845,320000.0,2
49893,408000.0,1
49961,530000.0,2
50042,640000.0,3
50429,370000.0,2
50444,388000.0,3
50447,395000.0,1
50459,417000.0,2
50956,280000.0,1
50971,336000.0,1
51006,412500.0,1
51016,425000.0,2
51045,455000.0,3
51109,569900.0,3
51652,480000.0,3
52182,310000.0,1
52691,360000.0,2
52884,300000.0,1
52889,310000.0,2
53033,520000.0,2
53491,180000.0,1
53496,265000.0,1
53536,370000.0,2
53555,402000.0,1
53576,430000.0,2
53982,1562500.0,3
54078,310000.0,1
54122,395000.0,2
54197,482500.0,1
54264,565000.0,3
54312,620000.0,2
54448,875000.0,2
54676,309000.0,1
54678,310000.0,1
54717,369000.0,2
54745,403500.0,2
54761,425000.0,3
54767,434950.0,2
54833,507000.0,2
54941,627000.0,3
55020,750000.0,3
55089,890000.0,3
55326,270000.0,1
55341,300000.0,1
55348,323000.0,2
55385,380000.0,1
55389,385000.0,1
55470,475000.0,2
55487,492000.0,2
55528,535000.0,3
55576,580000.0,2
55878,960000.0,2
58001,435000.0,2
58084,227000.0,1
58108,338000.0,2
58449,260000.0,1
59312,570000.0,3
59538,320000.0,2
59615,465000.0,3
59617,469600.0,2
59631,497500.0,2
59639,509950.0,3
59915,420000.0,2
60136,270000.0,1
60159,350000.0,2
60183,399950.0,2
60193,410000.0,2
60599,299950.0,2
60601,309950.0,2
60602,309950.0,2
60613,334950.0,2
60628,354950.0,2
60634,370000.0,2
60649,399500.0,3
60663,416000.0,2
60799,655000.0,2
61006,293000.0,1
61022,347000.0,2
61147,595000.0,2
61389,185000.0,1
61420,340000.0,2
61437,390000.0,2
61816,295000.0,2
62378,299000.0,1
62492,270000.0,2
62521,332000.0,1
62523,334950.0,2
62527,344950.0,2
62554,400000.0,1
62556,400000.0,2
62569,419950.0,2
62951,281000.0,1
62956,310000.0,1
62962,335000.0,1
62977,378000.0,1
63088,579000.0,2
63111,615000.0,3
63127,649000.0,2
63329,290000.0,3
63338,319950.0,2
63339,320000.0,2
63342,329950.0,2
63351,344950.0,2
63390,423000.0,2
63749,240000.0,2
63810,405000.0,2
64182,220000.0,1
64247,379000.0,3
64288,447000.0,2
64427,645000.0,2
65025,350000.0,2
65046,392500.0,2
65070,425000.0,2
65163,535000.0,2
65546,407500.0,1
65972,347000.0,1
65976,355000.0,1
66450,303000.0,2
66534,417000.0,2
66798,760000.0,2
67283,319000.0,1
67290,333000.0,1
67322,395000.0,1
67366,465000.0,2
67401,504000.0,2
67414,522000.0,3
67807,380000.0,2
67809,382000.0,2
67877,488000.0,2
67943,589000.0,2
68210,172000.0,1
68269,417500.0,2
68666,335000.0,1
68683,370000.0,2
68711,409000.0,2
68768,490000.0,3
69111,235000.0,2
69173,379950.0,2
69260,484950.0,2
69665,415000.0,3
70084,287000.0,1
70094,323000.0,1
70120,365000.0,1
70155,432500.0,2
70571,290000.0,1
70596,359950.0,2
70604,374950.0,2
70610,389950.0,2
70615,399950.0,2
70666,479950.0,2
70670,484950.0,2
70681,495000.0,2
70720,550000.0,2
70729,555000.0,2
70787,621000.0,2
71049,274000.0,1
71114,420000.0,1
71124,435000.0,2
71395,960000.0,2
71545,260000.0,2
71563,313000.0,1
71567,315000.0,1
71584,375000.0,1
71599,408000.0,2
71658,510000.0,2
71682,532000.0,2
72121,349950.0,2
72126,360000.0,1
72136,371000.0,1
72168,410000.0,2
72240,500000.0,2
72250,510000.0,2
73340,359000.0,2
73384,425000.0,2
73872,312000.0,1
73903,387000.0,2
74015,535000.0,3
74050,580000.0,3
74404,310000.0,1
74474,440000.0,2
74478,450000.0,1
74668,678000.0,2
74968,340000.0,1
75143,615000.0,2
75240,790000.0,2
75267,850000.0,3
75459,250000.0,1
75505,350000.0,1
75601,480000.0,3
75623,499950.0,2
76948,320000.0,1
76951,322000.0,2
76987,370000.0,1
76996,385000.0,1
77057,455000.0,2
77108,525000.0,2
77557,205000.0,1
77573,305000.0,2
77578,315000.0,2
77585,323000.0,1
77603,366000.0,1
77645,418000.0,2
78168,405000.0,1
78259,540000.0,1
78746,410000.0,2
78762,425000.0,3
78807,477000.0,1
79325,175000.0,0
79373,327000.0,2
79454,438500.0,2
80776,340000.0,1
80786,360000.0,2
80787,365000.0,2
80796,384000.0,2
80830,435000.0,2
80959,585000.0,2
81317,300000.0,2
81342,373000.0,2
81369,440000.0,2
81867,302000.0,2
81887,350000.0,1
81932,420000.0,2
81949,441000.0,3
82081,630000.0,2
82144,740000.0,3
82393,240000.0,1
82399,270000.0,1
82439,355000.0,1
82447,365000.0,2
82989,353000.0,1
82990,355000.0,2
83063,442500.0,2
83140,525000.0,2
83141,525000.0,2
84476,305000.0,2
84539,449500.0,2
84563,479950.0,2
84579,490000.0,2
84608,519950.0,2
84683,595000.0,2
84993,255000.0,2
85023,327800.0,2
85054,390000.0,2
85128,510000.0,2
85546,285000.0,2
85619,440000.0,2
85634,460000.0,3
86152,335000.0,2
86159,350000.0,1
86203,415000.0,1
86217,425000.0,2
86280,480000.0,3
87508,275000.0,2
87557,360000.0,2
87562,370000.0,2
87566,375000.0,2
87650,490000.0,1
87660,500000.0,3
88109,327000.0,2
88123,350000.0,2
88124,353000.0,2
88217,489950.0,2
88632,255000.0,1
88649,315000.0,1
88684,415000.0,2
88691,433500.0,2
88701,445000.0,2
89181,307000.0,2
89187,320000.0,2
89197,351000.0,1
89764,319000.0,1
89796,380000.0,2
89799,380000.0,2
89841,430000.0,1
89879,468000.0,2
89893,488000.0,1
90399,445000.0,2
90865,343000.0,2
90867,380000.0,1
91027,305000.0,2
91032,330000.0,1
91572,290000.0,1
91575,300000.0,1
91582,311000.0,1
91588,329000.0,2
91601,349950.0,2
91608,359950.0,2
91612,366000.0,2
91655,425000.0,2
91761,565000.0,3
92181,436500.0,3
92199,452000.0,2
92708,269000.0,1
92710,280000.0,1
92711,280600.0,1
92757,381000.0,1
93424,385000.0,2
93470,435000.0,2
94685,373500.0,1
94698,505250.0,2
94846,175000.0,1
94926,400000.0,2
95035,530000.0,2
95482,345000.0,2
95485,350000.0,2
95498,385000.0,2
95520,425000.0,2
96129,495000.0,3
96268,720000.0,3
96524,300000.0,1
97060,288000.0,2
97111,382500.0,2
97120,395000.0,2
97146,430000.0,2
97407,760000.0,4
97704,382000.0,2
97728,451000.0,2
97803,595000.0,3
98488,280000.0,2
98520,355000.0,2
98526,369950.0,2
98635,505000.0,2
98659,528000.0,2
99078,245000.0,1
99084,265000.0,2
99105,328000.0,2
99117,352500.0,1
99123,359950.0,2
99236,519950.0,2
99250,540000.0,2
99629,275000.0,1
99644,330000.0,2
99661,350000.0,2
99679,384000.0,1
99686,395000.0,2
99789,522000.0,2
100206,259600.0,1
100215,307875.0,2
100222,327500.0,1
100275,415000.0,1
100302,470000.0,2
100783,295000.0,2
100843,385000.0,1
100870,429000.0,2
100979,529950.0,2
101081,625000.0,3
102302,220000.0,2
102329,305000.0,2
102349,337000.0,1
102355,355000.0,2
102368,370000.0,2
102413,420000.0,3
102417,425000.0,3
103016,289000.0,2
103028,332500.0,1
103045,369950.0,2
103071,405500.0,1
103084,425000.0,1
103122,479950.0,2
103581,240000.0,1
103592,290000.0,0
103605,325000.0,1
103638,382000.0,1
103640,385000.0,2
104238,345000.0,1
104258,379950.0,2
104861,350000.0,1
105276,328000.0,2
105845,344000.0,2
105928,479950.0,2
106052,655000.0,2
106442,275000.0,1
106450,295000.0,2
106616,520000.0,2
106671,580000.0,2
106695,627000.0,2
106772,769500.0,4
107439,235000.0,2
107461,304500.0,2
107580,481500.0,2
107782,735000.0,2
108078,210000.0,1
108092,260000.0,2
108133,359000.0,2
108139,365000.0,2
108158,389950.0,2
108169,399950.0,2
108204,439950.0,2
108453,785000.0,3
108694,240000.0,1
108948,615000.0,2
109040,790000.0,3
109264,280000.0,1
109283,345000.0,2
109315,400000.0,2
109376,505000.0,2
109465,630000.0,3
109795,379950.0,2
109797,380000.0,1
109815,407000.0,1
109816,407500.0,1
109862,450000.0,2
